Epochs,Method,Seed,Method_Acc,Best_Ind_Acc,Improvement
21,c2m3,42,0.10523988503205838,0.6692460756135309,-0.5640061905814725
21,c2m3,123,0.06787530400176874,0.6862701746628344,-0.6183948706610656
21,c2m3,456,0.07959319036038028,0.6847225292947159,-0.6051293389343356
21,c2m3,789,0.01680300685385806,0.6546539907141278,-0.6378509838602697
21,c2m3,101,0.12845456555383594,0.6774264868450144,-0.5489719212911784
21,fedavg,42,0.06699093521998674,0.6692460756135309,-0.6022551403935441
21,fedavg,123,0.044218439089100156,0.6862701746628344,-0.6420517355737342
21,fedavg,456,0.04952465177979217,0.6847225292947159,-0.6351978775149237
21,fedavg,789,0.029847446385142605,0.6546539907141278,-0.6248065443289852
21,fedavg,101,0.05129338934335618,0.6774264868450144,-0.6261330975016582
21,simple_avg,42,0.06699093521998674,0.6692460756135309,-0.6022551403935441
21,simple_avg,123,0.044218439089100156,0.6862701746628344,-0.6420517355737342
21,simple_avg,456,0.04952465177979217,0.6847225292947159,-0.6351978775149237
21,simple_avg,789,0.029847446385142605,0.6546539907141278,-0.6248065443289852
21,simple_avg,101,0.05129338934335618,0.6774264868450144,-0.6261330975016582
23,c2m3,42,0.21534379836391776,0.6559805438868008,-0.44063674552288307
23,c2m3,123,0.07229714791067875,0.6699093521998674,-0.5976122042891886
23,c2m3,456,0.09307981428255582,0.694450585894318,-0.6013707716117621
23,c2m3,789,0.056378509838602694,0.6668140614636303,-0.6104355516250276
23,c2m3,101,0.16714569975679858,0.6743311961087773,-0.5071854963519787
23,fedavg,42,0.05438868007959319,0.6559805438868008,-0.6015918638072076
23,fedavg,123,0.029405261994251603,0.6699093521998674,-0.6405040902056157
23,fedavg,456,0.04952465177979217,0.694450585894318,-0.6449259341145258
23,fedavg,789,0.04930355958434667,0.6668140614636303,-0.6175105018792837
23,fedavg,101,0.032500552730488616,0.6743311961087773,-0.6418306433782888
23,simple_avg,42,0.05438868007959319,0.6559805438868008,-0.6015918638072076
23,simple_avg,123,0.029405261994251603,0.6699093521998674,-0.6405040902056157
23,simple_avg,456,0.04952465177979217,0.694450585894318,-0.6449259341145258
23,simple_avg,789,0.04930355958434667,0.6668140614636303,-0.6175105018792837
23,simple_avg,101,0.032500552730488616,0.6743311961087773,-0.6418306433782888
25,c2m3,42,0.12270616847225294,0.6652664160955118,-0.5425602476232589
25,c2m3,123,0.057483970815830204,0.6718991819588769,-0.6144152111430466
25,c2m3,456,0.09131107671899182,0.696219323457882,-0.6049082467388901
25,c2m3,789,0.050630112757019674,0.6601812956002653,-0.6095511828432456
25,c2m3,101,0.019013928808313065,0.6847225292947159,-0.6657086004864028
25,fedavg,42,0.08047755914216229,0.6652664160955118,-0.5847888569533496
25,fedavg,123,0.06455892107008622,0.6718991819588769,-0.6073402608887907
25,fedavg,456,0.06654875082909573,0.696219323457882,-0.6296705726287862
25,fedavg,789,0.06411673667919522,0.6601812956002653,-0.59606455892107
25,fedavg,101,0.049966836170683177,0.6847225292947159,-0.6347556931240327
25,simple_avg,42,0.08047755914216229,0.6652664160955118,-0.5847888569533496
25,simple_avg,123,0.06455892107008622,0.6718991819588769,-0.6073402608887907
25,simple_avg,456,0.06654875082909573,0.696219323457882,-0.6296705726287862
25,simple_avg,789,0.06411673667919522,0.6601812956002653,-0.59606455892107
25,simple_avg,101,0.049966836170683177,0.6847225292947159,-0.6347556931240327
27,c2m3,42,0.10634534600928587,0.6641609551182843,-0.5578156091089984
27,c2m3,123,0.06389564448374972,0.6723413663497678,-0.6084457218660181
27,c2m3,456,0.14348883484413,0.6858279902719434,-0.5423391554278134
27,c2m3,789,0.023877957108114082,0.6734468273269953,-0.6495688702188812
27,c2m3,101,0.06124253813840371,0.6690249834180854,-0.6077824452796816
27,fedavg,42,0.060358169356621715,0.6641609551182843,-0.6038027857616626
27,fedavg,123,0.05416758788414769,0.6723413663497678,-0.6181737784656202
27,fedavg,456,0.049966836170683177,0.6858279902719434,-0.6358611541012602
27,fedavg,789,0.025204510280787087,0.6734468273269953,-0.6482423170462083
27,fedavg,101,0.08003537475127127,0.6690249834180854,-0.588989608666814
27,simple_avg,42,0.060358169356621715,0.6641609551182843,-0.6038027857616626
27,simple_avg,123,0.05416758788414769,0.6723413663497678,-0.6181737784656202
27,simple_avg,456,0.049966836170683177,0.6858279902719434,-0.6358611541012602
27,simple_avg,789,0.025204510280787087,0.6734468273269953,-0.6482423170462083
27,simple_avg,101,0.08003537475127127,0.6690249834180854,-0.588989608666814
29,c2m3,42,0.15918638072076055,0.6562016360822462,-0.4970152553614857
29,c2m3,123,0.08202520451028078,0.6922396639398629,-0.6102144594295822
29,c2m3,456,0.09949148795047535,0.691797479548972,-0.5923059915984966
29,c2m3,789,0.061905814724740216,0.6515586999778907,-0.5896528852531505
29,c2m3,101,0.061905814724740216,0.6875967278355074,-0.6256909131107672
29,fedavg,42,0.10435551625027636,0.6562016360822462,-0.5518461198319699
29,fedavg,123,0.0570417864249392,0.6922396639398629,-0.6351978775149237
29,fedavg,456,0.07495025425602476,0.691797479548972,-0.6168472252929472
29,fedavg,789,0.04930355958434667,0.6515586999778907,-0.6022551403935441
29,fedavg,101,0.053504311297811184,0.6875967278355074,-0.6340924165376962
29,simple_avg,42,0.10435551625027636,0.6562016360822462,-0.5518461198319699
29,simple_avg,123,0.0570417864249392,0.6922396639398629,-0.6351978775149237
29,simple_avg,456,0.07495025425602476,0.691797479548972,-0.6168472252929472
29,simple_avg,789,0.04930355958434667,0.6515586999778907,-0.6022551403935441
29,simple_avg,101,0.053504311297811184,0.6875967278355074,-0.6340924165376962
